GeneName,d0_siRNA,dm_siRNA,dm_NC,dm_PPARG,ins_siRNA,ins_NC,ins_PPARG
AC099934.7,=,=,+,+,-,=,=
AC100406.2,=,=,=,=,=,=,=
AC102369.2,=,=,=,=,=,=,=
AC102542.1,=,=,=,=,=,=,=
AC107819.3,=,=,=,=,-,=,=
AC108846.4,=,=,=,=,+,+,+
AC110377.1,=,=,=,=,=,=,=
AC110816.1,+,=,-,-,=,+,=
AC113508.3,=,=,=,=,-,=,+
AC114645.3,=,=,+,+,+,=,=
AC115037.1,=,=,=,=,-,=,=
AC115805.2,=,=,=,=,+,+,=
AC116699.1,=,=,=,+,=,=,=
AC116726.1,=,=,=,=,=,=,=
AC116726.2,=,=,=,=,=,=,=
AC117226.2,+,+,+,=,+,=,=
AC118202.1,=,-,-,-,-,=,+
AC118222.2,=,+,=,=,+,+,=
AC121264.1,=,=,=,=,=,=,=
AC121569.2,=,=,=,=,+,+,-
AC121599.1,=,=,=,=,-,=,=
AC121821.1,=,=,=,=,=,=,=
AC121872.2,=,=,=,=,=,=,=
AC121965.1,=,=,=,+,+,+,=
AC122024.3,=,=,=,=,-,=,=
AC122273.2,=,=,=,-,=,=,=
AC122327.4,=,=,=,=,=,=,=
AC122335.1,=,=,=,=,=,=,=
AC122351.1,=,=,=,=,=,=,=
AC122357.2,=,=,=,=,-,-,=
AC122357.4,=,=,-,=,-,=,=
AC122367.3,=,=,+,+,=,=,=
AC122428.1,=,=,=,=,=,=,=
AC122428.2,=,-,=,+,-,=,=
AC122525.2,-,-,=,=,-,=,+
AC122850.1,=,=,=,=,-,-,=
AC123619.1,=,=,=,=,+,+,=
AC123720.1,=,-,-,-,-,=,=
AC123738.1,=,=,=,=,-,-,=
AC123832.2,=,=,=,=,=,=,=
AC123935.1,=,=,=,=,=,=,=
AC124392.1,=,=,=,=,-,=,=
AC124421.2,=,=,=,=,+,+,=
AC124426.4,=,=,=,=,-,=,=
AC124426.5,=,=,=,=,=,=,=
AC124453.1,=,=,=,=,=,=,=
AC124457.1,=,=,=,=,=,=,=
AC124562.2,=,=,=,-,=,=,=
AC124581.4,=,=,=,=,=,=,+
AC124712.1,=,=,=,=,=,=,=
AC124739.5,=,=,=,=,-,=,=
AC124744.2,=,=,=,=,-,=,=
AC124772.5,=,=,=,+,=,=,-
AC125350.3,=,=,=,=,-,=,=
AC125350.5,=,=,-,=,-,-,=
AC125543.3,=,=,=,=,=,=,+
AC126043.1,=,=,=,=,=,=,=
AC126799.2,=,=,=,=,=,=,=
AC126804.2,=,=,-,=,=,=,=
AC127302.1,=,=,=,=,=,=,=
AC129016.2,=,=,=,=,-,=,=
AC129085.1,=,=,=,=,=,=,=
AC129217.1,=,=,=,=,-,=,=
